request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:1.5656e+07,2025-08-03,none,Verified balance 100845250.00 and protected balance 24768300.00 were used; live judgment was unavailable.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Verified balance 93141.80 and protected balance 20500.00 were used; live judgment was unavailable.
request_28,689.4,not_affordable,not_recommended,none,,none,Verified balance 1789.40 and protected balance 1100.00 were used; live judgment was unavailable.
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Verified balance 113540.10 and protected balance 28300.00 were used; live judgment was unavailable.
request_30,775.2,affordable_now,full_payment,2026-04-06:775.2,2026-04-06,none,Verified balance 3752.72 and protected balance 900.00 were used; live judgment was unavailable.
request_31,13840360.0,not_affordable,not_recommended,none,,none,Verified balance 30429260.00 and protected balance 16588900.00 were used; live judgment was unavailable.
request_32,33305.8,not_affordable,not_recommended,none,,none,Verified balance 69005.80 and protected balance 35700.00 were used; live judgment was unavailable.
request_33,0.0,not_affordable,not_recommended,none,,none,Verified balance 167280.00 and protected balance 167280.00 were used; live judgment was unavailable.
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Verified balance 559752.50 and protected balance 138500.00 were used; live judgment was unavailable.
request_35,0.0,not_affordable,not_recommended,none,,none,Verified balance 231530.00 and protected balance 231530.00 were used; live judgment was unavailable.
request_36,1446.6,not_affordable,not_recommended,none,,none,Verified balance 3846.60 and protected balance 2400.00 were used; live judgment was unavailable.
request_37,12068800.0,not_affordable,not_recommended,none,,none,Verified balance 29125000.00 and protected balance 17056200.00 were used; live judgment was unavailable.
request_38,379.4,not_affordable,not_recommended,none,,none,Verified balance 779.40 and protected balance 400.00 were used; live judgment was unavailable.
request_39,203105.0,not_affordable,not_recommended,none,,none,Verified balance 416505.00 and protected balance 213400.00 were used; live judgment was unavailable.
request_40,894.0,not_affordable,not_recommended,none,,none,Verified balance 2394.00 and protected balance 1500.00 were used; live judgment was unavailable.
request_41,24809250.0,not_affordable,not_recommended,none,,none,Verified balance 50175850.00 and protected balance 25366600.00 were used; live judgment was unavailable.
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Verified balance 261765.00 and protected balance 113100.00 were used; live judgment was unavailable.
request_43,15242750.0,not_affordable,not_recommended,none,,none,Verified balance 36640750.00 and protected balance 21398000.00 were used; live judgment was unavailable.
